;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CATEGORY;2025 Demand;2026 Demand;2027 Demand;;;;
Product Line;Equipment;Type;2025 - Demand (Volumes);;;;;;;;;;;;2026 - Demand (Volumes);;;;;;;;;;;;2027 - Demand (Volumes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;O&R RISER FIRM;83;64;38;;;;
;;;January-25;February-25;March-25;April-25;May-25;June-25;July-25;August-25;September-25;October-25;November-25;December-25;January-26;February-26;March-26;April-26;May-26;June-26;July-26;August-26;September-26;October-26;November-26;December-26;January-27;February-27;March-27;April-27;May-27;June-27;July-27;August-27;September-27;October-27;November-27;December-27;;;;;;;;;;;;;;;;;;O&R RISER RISK RELEASE;0;0;0;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;Ram Block;Firm;309;609;995;995;838;722;800;534;356;470;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;Ram BOP;Firm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
Riser;TJ MR6H (Valaris);Firm;400;400;400;0;200;0;0;200;1000;200;250;100;100;0;350;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;680;400;0;0;0;267;267;267;225;225;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;TJ QTR-3500;Firm;1000;1450;400;400;880;780;700;910;560;50;0;0;425;505;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267;267;533;267;267;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Consolidate Demand per Quarter;;;;;;;;;;;;;;;;;;;;;;;
;Riser NOV (Batch 5J);Firm;0;0;0;0;0;2867;3278;600;3750;4495;4070;15262;9477;6385;5200;968;968;0;0;4200;4200;0;4008;4370;4288;2025;1915;3908;3182;2232;2451;3091;3550;8082;4320;660;;;2024;2025;;;;2026;;;;2027;;;;;;;;;;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Status;Q4 - 2024;Q1 -2025;Q2 - 2025;Q3 - 2025;Q4 - 2025;Q1 - 2026;Q2 - 2026;Q3 - 2026;Q4 - 2026;Q1 - 2027;Q2 - 2027;Q3 - 2027;Q4 - 2027;;;;;;;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Riser Firm;28597;21295;5727;25058;30887;29804;8602;10677;14615;8228;7865;9092;13062;;;;;;;;;;
