"Projeto","Cliente","Service Order","Workshop","Descrição da Atividade","Rastreabilidade","Qnt. Planejada","Qnt. Executada","Recursos Planejados","Recursos Utilizados","Setor","Semana","Ano","Dia","Status","Categoria Não Executado","Justificativa"
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Sleeve - Pré aquecimento",,"1","1","1","1","Mecânico Hidraulico","W08","2026","03. Quarta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Sleeve - Soldagem manual",,"1","1","1","1",,"W08","2026",,"Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Sleeve - Polimento",,"1","1","1","1","Mecânico Hidraulico","W08","2026","03. Quarta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Inspeção LP",,"1","1","1","1","Mecânico Hidraulico","W08","2026","03. Quarta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Remoção de trinca",,"0","0.3","1","1","Inspeção","W08","2026","03. Quarta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Inspeção de solda",,"0.2","0.2","1","1","Mecânico Hidraulico","W08","2026","03. Quarta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Soldagem metal de base","Parte do canal","0.5","0.5","1","1","Mecânico Hidraulico","W08","2026","03. Quarta","Concluído",,
"CON-Female Stab-470004890","
Constellation","470005704","Topside&BOP","Female Stab - Shell Test","HOLD POINT","0.25","0.25","1",,"Hyd Mechanical","W08","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Orbital - AMS-120 - Linha Kill -- AMS-CK-168 / AMS-048 - Linha Kill -- AMS-CK-126","AMS-CK-168 / AMS-CK-126","2","2","1",,"Orbital","W06","2026","04. Quinta","Concluído",,
"CON-Female Stab-470004890","Constellation","470005704","Topside&BOP","Female Stab - Chart report preparation",,"1","1","1",,"Hyd Mechanical","W08","2026","03. Quarta","Concluído",,
"CON-Female Stab-470004890","Constellation","470005704","Topside&BOP","Female Stab - Chart report preparation","Apenas conferência das cartas gráficas","1","1","1",,"Inspection","W08","2026","03. Quarta","Concluído",,
"CON-Female Stab-470004890","Constellation","470005704","Topside&BOP","Female Stab - Cleaning",,"1","1","1",,"Hyd Mechanical","W08","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Orbital - AMS-084 - Linha Choke -- AMS-CK-145","AMS-CK-145","1","1","1",,"Orbital","W07","2026","04. Quinta","Concluído",,
"TOI-H4 Connector SHD-470004534
","Transocean","470004534","Topside&BOP","Material handling operation (=>1hour)","Movimentações para touch up","1","1","1","1","Hyd Mechanical","W08","2026","03. Quarta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Lock and Unlock Function Test (System test)","HOLD POINT","0","1",,"1","Hyd Mechanical","W08","2026","04. Quinta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Unlock Pressure Record (Cycle test)","HOLD POINT","0","1",,"1","Hyd Mechanical","W08","2026","04. Quinta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Test flange assembly",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","Contamination degree test (final)",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Pressure Body Test","HOLD POINT / test stump 16-3/4","1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Predecessor Activity",
"TOI-H4 Connector SHD-470004534","Transocean","470004534","Topside&BOP","H4 - Install Identification Plate",,"1","1","1","1","Hyd Mechanical","W08","2026","04. Quinta","Concluído",,
"TOI-H4 Connector SHD-470004534","Transocean","470004534","Topside&BOP","H4 - Preservation",,"1","1","1","1","Hyd Mechanical","W08","2026","04. Quinta","Concluído",,
"TOI-H4 Connector SHD-470004534","Transocean","470004534","Topside&BOP","H4 - Shipping Checklist (Inspector)",,"1","1","1","1","Inspection","W08","2026","04. Quinta","Concluído",,
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Preparation of hydraulic instrumentation",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Cartridge assembly",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Upper Body assembly",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"CON-H4 Connector SHD-470005885","Constellation","470005885","Topside&BOP","H4 - Upper Body assembly",,"1","1","1","1","Hyd Mechanical","W08","2026","04. Quinta","Concluído",,
"CON-H4 Connector SHD-470005885","Constellation","470005885","Topside&BOP","H4 - Final assembly (Fixture and hydraulic system)",,"1","1","1","1","Hyd Mechanical","W08","2026","04. Quinta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 - Touch up","APENAS TOUCH UP AMARELO","1","1","1","1","Coating","W08","2026","04. Quinta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Topside&BOP","Shipping checklist (inspector)","Upper Body","1",,,,"Inspection","W08","2026","04. Quinta","Não Executado",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Usinagem (fornecedor)",,"0.25","0.25","1","1","D21","W08","2026","04. Quinta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Body - Usinagem / Polimento em máquina",,"0.2","0.2","1","1","D21","W08","2026","04. Quinta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Inspeção de solda",,"0.2","0.2","1","1","Inspection","W08","2026","04. Quinta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Soldagem metal de base","Parte do canal","0.5","0.5","1","1","Welding Manual","W08","2026","04. Quinta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Sleeve - Usinagem / Polimento em máquina",,"0.25","0.25","1","1","D21","W08","2026","04. Quinta","Concluído",,
"TOI-Mandrel-470006562","Transocean","470007173","Topside&BOP","Mandrel - Polish the VX groove",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Priority Alling with the Planning","Falta de resurso"
"TOI-Mandrel-470006562","Transocean","470007173","Topside&BOP","Mandrel - Visual/Dimensional inspection",,"1",,,,"Inspection","W08","2026","04. Quinta","Não Executado","Priority Alling with the Planning","Falta de resurso"
"CON-Female Stab-470004890","Constellation","470005704","Topside&BOP","Female Stab - Touch up",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Lack of Consumables","Falta de peça por parte do cliente"
"CON-Female Stab-470004890","Constellation","470005704","Topside&BOP","Female Stab - Identification plate installation",,"1",,,,"Hyd Mechanical","W08","2026","04. Quinta","Não Executado","Lack of Consumables","Falta de peça por parte do cliente"
"FOR-BOP Annular-470006450","Foresea","470007297","Topside&BOP","Annular Body - Usinagem","Code62","0.2","0.2","1","1","HBM","W08","2026","04. Quinta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Pressure Body Test",,"1","1",,,"Hyd Mechanical","W08","2026","06. Sábado","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Test Flange Disassembly",,"1","1",,,"Hyd Mechanical","W08","2026","06. Saturday / Sábado","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Total cleaning","Preparação para touch up","1","1",,,"Hyd Mechanical","W08","2026","06. Saturday / Sábado","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Send VGS and signed graphic letter to CQ",,"1","1",,,"Hyd Mechanical","W08","2026","06. Saturday / Sábado","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Touch up",,"1","1",,,"Coating","W08","2026","06. Sábado","Concluído","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Install Identification Plate",,"1",,,,"Hyd Mechanical","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Preservation",,"1",,,,"Hyd Mechanical","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Send documentation for databook","Assinar e disponibilizar MC-05 / RA23 / VA04","1",,,,"Hyd Mechanical","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Shipping Checklist (Inspector)","Analisar cartas gráficas + checklist de envio","1",,,,"Inspection","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Usinagem (fornecedor)",,"0.25","0.25",,,"D21","W08","2026","06. Saturday / Sábado","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Remoção Dowel Pin",,"1","0",,,"Hyd Mechanical","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Rebarbação e limpeza",,"1","0",,,"Hyd Mechanical","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Bissulfeto à frio",,"1","0",,,"Hyd Mechanical","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Body - Usinagem / Polimento em máquina",,"0.2","0.2",,,"D21","W08","2026","06. Saturday / Sábado","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Body - Inspeção visual/dimensional",,"1","0",,,"Inspection","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Body - Inspeção PM",,"1","0",,,"Inspection","W08","2026","06. Sábado","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Send Item","Diverter Body para o Riser 01 (Avaliar caminhão para movimentação)","1","0",,,"Logistic","W08","2026","06. Saturday / Sábado","Não Executado",,"Não foi necessário"
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Sleeve - Usinagem / Polimento em máquina",,"0.25","0.25",,,"D21","W08","2026","06. Saturday / Sábado","Concluído",,
"FOR-BOP Annular-470006450","Foresea","470007297","Topside&BOP","Annular Body - Usinagem","Code62","0.2","0",,,"HBM","W08","2026","06. Saturday / Sábado","Não Executado","Incorrect Planning",
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Inspeção de solda",,"0.2","0.2",,,"Inspection","W08","2026","06. Saturday / Sábado","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Diverter Piston - Soldagem metal de base","CONE","0.5","0.5",,,"Cladding","W08","2026","06. Sábado","Concluído",,
"TOI-Mandrel-470006562","Transocean","470007173","Topside&BOP","Mandrel - Polish the VX groove",".","1","1","1",,"Mecânico Hidraulico","W09","2026","05. Sexta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","Send Item","Upper Body do Riser 03 para Topside","1","1","1","1","Logistic","W08","2026","05. Sexta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Topside&BOP","H4 Upper - Cleaning Hydraulic Bores",,"1","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Topside&BOP","H4 Upper - Preservation",,"1","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Test flange assembly",,"0","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","Contamination degree test (final)",,"0","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Pressure Body Test","HOLD POINT / test stump 16-3/4","0","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Pressure Body Test",,"1",,,,"Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Test Flange Disassembly",,"1",,,,"Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Total cleaning","Preparação para touch up","1",,,,"Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-H4 Connector DxE-470006272","Constellation","470006272","Topside&BOP","H4 - Send VGS and signed graphic letter to CQ",,"1",,,,"Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"TOI-H4 Connector SHD-470004534","Transocean","470004534","Topside&BOP","H4 - Send documentation for databook","Assinar e disponibilizar MC-05 / RA23 / VA04","1","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Preparation of hydraulic instrumentation",,"0","0.5","1","1","Hyd Mechanical","W08","2026","05. Sexta","Parcial",,
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Cartridge assembly",,"0",,"1","1","Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Upper Body assembly",,"0",,"1","1","Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Final assembly (Fixture and hydraulic system)",,"1",,"1","1","Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","Contamination degree test (initial)","Coleta de amostra para UNAX","1",,"1","1","Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Test preparation","Pré test dos cartuchos (SERÁ USADO O MANDRIL 18-3/4 PARA OS TESTES)","1",,"1","1","Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"TOI-H4 Connector ExF-470006234","Transocean","470006234","Topside&BOP","H4 - Test preparation","Avaliar quando acionamos a DNV/TOI para os testes","1",,"1","1","Planning","W08","2026","05. Sexta","Não Executado","Priority Alling with the Planning","Pendente liberação da DNV"
"CON-H4 Connector SHD-470005885","Constellation","470005885","Topside&BOP","Contamination degree test (initial)","Coleta de amostra para UNAX","1","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-H4 Connector SHD-470005885","Constellation","470005885","Topside&BOP","H4 - Test preparation","test stump 18-3/4","1","1","1","1","Hyd Mechanical","W08","2026","05. Sexta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Sleeve - Usinagem / Polimento em máquina",,"0.25","0.25","1","1","D21","W08","2026","05. Sexta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Usinagem (fornecedor)",,"0.25","0.25","1","1","D21","W08","2026","05. Sexta","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Visual/Dimensional","1) Sede RX Det R e Canal L do desenho X-1014785","1","0","1","1","Inspection","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Inspeção LP",,"1","0","1","1","Inspection","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Polimento",,"1","0","1","1","Hyd Mechanical","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Visual/Dimensional","Canal do Det M do desenho X-1014785","1","0","1","1","Inspection","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Base - Inspeção PM",,"1","0","1","1","Inspection","W08","2026","05. Sexta","Não Executado","Predecessor Activity",
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter Body - Usinagem / Polimento em máquina",,"0.2","0.2","1","1","D21","W08","2026","05. Sexta","Concluído",,
,,,,,,,,,,,,,,,,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Caixa Booster - AMS-BO-B-80","Caixa Booster - AMS-BO-B-80","1","1","1",,"Cladding","W08","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Caixa Choke - AMS-CK-B-119","Caixa Choke - AMS-CK-B-119 (2° TURNO)","1","1","1",,"Cladding","W08","2026","04. Quinta","Concluído",,
"CSA - Laguna Star","Constellation","470004736","Riser","Tratamento Térmico LGS-044 - Linha Choke - AMS-CK-41","Linha Choke - AMS-CK-41","1","1","2",,"Tratamento Térmico","W08","2026","04. Quinta","Concluído",,
"CSA - Laguna Star","Constellation","470004736","Riser","Tratamento Térmico LGS-112 - Linha Choke - LGS-CK-47","Linha Choke - LGS-CK-47","1","1","2",,"Tratamento Térmico","W08","2026","04. Quinta","Concluído",,
"Centro de Custo","HMH","Xx","Riser","HMH - Corte da barra p/ disp de usinagem","Xx","1","1","1",,"Calderaria","W08","2026","04. Quinta","Concluído",,
"Centro de Custo","HMH","Xx","Riser","HMH - Disp p/ tratamento térmico","Xx","1","1","1",,"Calderaria","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda AMS-054 - Linha Choke - AMS-CK-131","Linha Choke - AMS-CK-131","1","1","2",,"Orbital","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda AMS-084 - Linha Kill - AMS-CK-146","Linha Kill - AMS-CK-146","1","1","2",,"Orbital","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Reparo de Solda Manual - AMS-043 - Flange Lado Pino","AMS-043 - Flange Lado Pino","1","1","2",,"Solda Manual","W08","2026","05. Sexta","Concluído",,
"CSA - Laguna Star","Constellation","470004736","Riser","Solda LGS - Caixa CK - LGS-CK-B-047","Caixa CK - LGS-CK-B-047","1","1","1",,"Cladding","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","T.Térmico AMS-048 - AMS-CK-126","AMS-CK-126","1","1","2",,"Tratamento Térmico","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","T.Térmico AMS-120 - AMS-CK-168","AMS-CK-168","1","1","2",,"Tratamento Térmico","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","T.Térmico AMS-084 - AMS-CK-145","AMS-CK-145","1","1","2",,"Tratamento Térmico","W08","2026","05. Sexta","Concluído",,
"Centro de Custo","HMH","470004734","Riser","Inspeção pós usinagem final de Caixas de CK","Caixas de fabricação","4","7","1",,"Inspeção","W10","2026","01. Segunda",,,
"Centro de Custo","HMH","47000734","Riser","Inspeção pós usinagem final de Caixas de CK","Caixas de Fabricação","3","0","1",,"Inspeção","W10","2026","02. Terça",,,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","LNS-011/LNS-055/LNS-065/LNS-093","4","4","6","4","Mecânico Riser","W09","2026","01. Segunda","Concluído",,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","LNS-069/APS-030/APS-031/APS-041","4","4","6","4","Mecânico Riser","W09","2026","02. Terça","Concluído",,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","APS-058/GDS-057/APS-064/GDS-054","4","4","6","4","Mecânico Riser","W09","2026","03. Quarta","Concluído",,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","APS-094/APS-088/APS-093/LNS-035","4","4","6","4","Mecânico Riser","W09","2026","04. Quinta","Concluído",,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","LNS-068/LNS-087/LNS-096","4","3","6","4","Mecânico Riser","W09","2026","05. Sexta","Parcial",,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","GDS-077/APS-056","4","2","6","4","Mecânico Riser","W09","2026","06. Sábado","Parcial",,
"CSA - Lone Star","Constellation","470004732","Riser","Ajuste Mecanicos / Preservação de Riser QTR","xxx","4","0","6","0","Mecânico Riser","W09","2026","07. Domingo","Não Executado","Prioridade Alinhada com Planejamento","Demanda cancelada"
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Pré aquecimento e Solda","Piston Diverter - Realizado em 3 turnos","0.5","0.5","2","2","Cladding","W08","2026","06. Sábado","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Pré aquecimento e Solda","Piston Diverter - Realizado em 3 turnos","0.5","0.5","2","2","Cladding","W08","2026","07. Domingo","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Send Item Riser 01 para Riser 03","H4 UPPER","1","1","1",,"Logistica","W07","2026","05. Sexta","Concluído",,
,,,,,,,,,,,,,,,,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Jateamento","H4 Upper","1","1","1",,"Pintura","W07","2026","05. Sexta","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Fosfato","H4 Upper","1","1","1",,"Pintura","W07","2026","05. Sexta","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Epoxy","H4 Upper","0.5","0.5","1",,"Pintura","W07","2026","05. Sábado","Concluído",,
,,,,,,,,,,,,,,,,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Epoxy","H4 Upper","0.5","0.5","1",,"Pintura","W08","2026","01. Segunda","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Send Item - Riser 03 para Topside","H4 Upper","1","1","1",,"Logistica","W07","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Orbital","AMS-090  MP-NIPPLE","1","1","2",,"Orbital","W09","2026","01. Segunda","Concluído",,
"CSA - Laguna Star","Constellation","470004736","Riser","Solda de Flange","LGS-080 Flange lado pino","1","1","1",,"Solda Manual","W09","2026","01. Segunda","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Solda Cladding","Piston Diverter (Realizado em 3 turnos)","1","1","3",,"Cladding","W09","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Tratamento Térmico - AMS-054","Linha Choke AMS-CK-131 (Realizado em 3 turnos)","1","1","3",,"Tratamento Térmico","W09","2026","01. Segunda","Concluído",,
"CSA - Laguna Star","Constellation","470004736","Riser","Tratamento Térmico","LGS-080 Flange lado Pino (Realizdo em 3 turnos)","1","1","3",,"Tratamento Térmico","W09","2026","01. Segunda","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Diverter - Solda manual ","Diverter","1","1","1",,"Solda Manual","W09","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Orbital AMS-035 - Linha Choke","Linha Choke - AMS-CK-119","1","1","1",,"Orbital","W09","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Solda Flange","AMS-024 Flange Lado Pino","1","1","1",,"Solda Manual","W09","2026","02. Terça","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Topside&BOP","Solda Manual - Diverter","Diverter ","1","1","2",,"Solda Manual","W09","2026","02. Terça","Concluído",,
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Solda Cladding - Diverter Piston","Diverter Piston (Realizado em 3 turnos)","1","1","3",,"Cladding","W09","2026","02. Terça","Concluído",,
"CSA - Laguna Star","Constellation","470004736","Riser","Tratamento Térmico","LGS-080 Flange Lado Pino (Realizado em 3 turnos)","1","1","3",,"Tratamento Térmico","W09","2026","02. Terça","Concluído",,
"CSA - Amaralina Star",,"470004734","Riser",,,"1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star",,"470004734","Riser",,,"1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Magnetic Test","AMS-BO-38","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Wall Thickness","AMS-BO-38","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Magnetic Test","AMS-BO-38","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CON-H4 Connector SHD-470005885","Constellation","470007289","Topside&BOP","Wall Thickness","AMS-BO-38","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Magnetic Test","RD19122452458-01","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-CK-119","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-080","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-BO-70","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-CK-B-070","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-CK-B-163","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-CK-B-166","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Welding","AMS-BO-80","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Visual Dimensional","AMS-056","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
